"","dvariants","group","dSNPs_gene"
"1","1","dSNP",3513
"2","1","Both",0
"3","1","High",2644
"4","2","dSNP",2613
"5","2","Both",985
"6","2","High",506
"7","3","dSNP",1921
"8","3","Both",1176
"9","3","High",81
"10","4","dSNP",1252
"11","4","Both",1006
"12","4","High",27
"13","5","dSNP",788
"14","5","Both",723
"15","5","High",3
"16","6","dSNP",536
"17","6","Both",556
"18","6","High",1
"19","7","dSNP",300
"20","7","Both",413
"21","7","High",3
"22","8","dSNP",188
"23","8","Both",245
"24","8","High",0
"25","9","dSNP",105
"26","9","Both",199
"27","9","High",0
"28","10","dSNP",67
"29","10","Both",121
"30","10","High",0
"31","11","dSNP",33
"32","11","Both",86
"33","11","High",0
"34","12","dSNP",19
"35","12","Both",68
"36","12","High",0
"37","13","dSNP",19
"38","13","Both",41
"39","13","High",0
"40","14","dSNP",12
"41","14","Both",31
"42","14","High",1
"43","15","dSNP",8
"44","15","Both",21
"45","15","High",0
"46","16","dSNP",3
"47","16","Both",12
"48","16","High",0
"49","17","dSNP",2
"50","17","Both",6
"51","17","High",0
"52","18","dSNP",4
"53","18","Both",8
"54","18","High",0
"55","19","dSNP",0
"56","19","Both",6
"57","19","High",0
"58","20","dSNP",4
"59","20","Both",3
"60","20","High",0
"61","21","dSNP",2
"62","21","Both",3
"63","21","High",0
"64","22","dSNP",1
"65","22","Both",2
"66","22","High",0
"67","23","dSNP",1
"68","23","Both",4
"69","23","High",0
