"","type","bp","Frac"
"1","NaN","1",0.615862935767679
"2","NaN","2",0.125223258583052
"3","NaN","3",0.0583449097043064
"4","NaN","4",0.0339353046239333
"5","NaN","5",0.0191837004696699
"6","NaN","6",0.0180591387179996
"7","NaN","7",0.0113779188992525
"8","NaN","8",0.0103856585301316
"9","NaN","9",0.00912879539591189
"10","NaN","10",0.00747502811404379
"11","NaN","11",0.00568895944962625
"12","NaN","12",0.00535820599325263
"13","NaN","13",0.00429979493285705
"14","NaN","14",0.00423364424158232
"15","NaN","15",0.00370443871138453
"16","NaN","16",0.00224912350334061
"17","NaN","17",0.00211682212079116
"18","NaN","18",0.00244757557716478
"19","NaN","19",0.0016537672818681
"20","NaN","20",0.00145531520804392
"21","NaN","21",0.00224912350334061
"22","NaN","22",0.00191837004696699
"23","NaN","23",0.00198452073824171
"24","NaN","24",0.00119071244294503
"25","NaN","25",0.000793808295296686
"26","NaN","26",0.000926109677846134
"27","NaN","27",0.0013891645167692
"28","NaN","28",0.000661506912747238
"29","NaN","29",0.00158761659059337
"30","NaN","30",0.0451147714493616
"31","EMS","1",0.388888888888889
"32","EMS","2",0.297979797979798
"33","EMS","3",0.095959595959596
"34","EMS","4",0.0252525252525253
"35","EMS","5",0.0505050505050505
"36","EMS","6",0.0202020202020202
"37","EMS","7",0.0303030303030303
"38","EMS","8",0.0151515151515152
"39","EMS","9",0.0101010101010101
"40","EMS","10",0.0252525252525253
"41","EMS","11",0.00505050505050505
"42","EMS","12",0.00505050505050505
"43","EMS","13",0.0101010101010101
"44","EMS","14",0.0202020202020202
"45","EMS","15",0.00505050505050505
"46","EMS","16",0.0101010101010101
"47","EMS","17",0.0101010101010101
"48","EMS","18",0.0151515151515152
"49","EMS","19",0.00505050505050505
"50","EMS","20",0.00505050505050505
"51","EMS","21",0.00505050505050505
"52","EMS","22",0.00505050505050505
"53","EMS","23",0.00505050505050505
"54","EMS","24",0.00505050505050505
"55","EMS","25",0.00505050505050505
"56","EMS","26",0.0101010101010101
"57","EMS","27",0.00505050505050505
"58","EMS","28",0.00505050505050505
"59","EMS","29",0.00505050505050505
"60","EMS","30",0.0454545454545455
"61","FN","1",0.335174953959484
"62","FN","2",0.158379373848987
"63","FN","3",0.0773480662983425
"64","FN","4",0.0681399631675875
"65","FN","5",0.0478821362799263
"66","FN","6",0.0515653775322284
"67","FN","7",0.0313075506445672
"68","FN","8",0.0257826887661142
"69","FN","9",0.0257826887661142
"70","FN","10",0.0257826887661142
"71","FN","11",0.0184162062615101
"72","FN","12",0.0147329650092081
"73","FN","13",0.00736648250460405
"74","FN","14",0.0110497237569061
"75","FN","15",0.0128913443830571
"76","FN","16",0.00184162062615101
"77","FN","17",0
"78","FN","18",0.00552486187845304
"79","FN","19",0.00184162062615101
"80","FN","20",0.00552486187845304
"81","FN","21",0.00552486187845304
"82","FN","22",0.00184162062615101
"83","FN","23",0.00184162062615101
"84","FN","24",0.00552486187845304
"85","FN","25",0
"86","FN","26",0.00184162062615101
"87","FN","27",0
"88","FN","28",0.00184162062615101
"89","FN","29",0.00184162062615101
"90","FN","30",0.0534069981583794
"91","Rare","1",0.4632726054527
"92","Rare","2",0.115024977584219
"93","Rare","3",0.0694248751120789
"94","Rare","4",0.039944428570021
"95","Rare","5",0.0274704160960085
"96","Rare","6",0.0250367027618212
"97","Rare","7",0.0188489619769241
"98","Rare","8",0.0179621838389611
"99","Rare","9",0.0184548383600516
"100","Rare","10",0.016769959897922
"101","Rare","11",0.0146613985476545
"102","Rare","12",0.014631839276389
"103","Rare","13",0.011094579814959
"104","Rare","14",0.0104738351183849
"105","Rare","15",0.0097644126080145
"106","Rare","16",0.00874954429456799
"107","Rare","17",0.0076657043481688
"108","Rare","18",0.00739967090677991
"109","Rare","19",0.00665083603472229
"110","Rare","20",0.00583302952971199
"111","Rare","21",0.00656215822092599
"112","Rare","22",0.0052911095565124
"113","Rare","23",0.00469992413120375
"114","Rare","24",0.0048378673971091
"115","Rare","25",0.00402991398252062
"116","Rare","26",0.0037441743602881
"117","Rare","27",0.00364564345607
"118","Rare","28",0.00363579036564819
"119","Rare","29",0.00326137292961938
"120","Rare","30",0.0511572454700417
"121","Common","1",0.497614124848145
"122","Common","2",0.11931127931969
"123","Common","3",0.0702679656106906
"124","Common","4",0.0406153630501822
"125","Common","5",0.0257803009064573
"126","Common","6",0.0236105270535464
"127","Common","7",0.0179860527053546
"128","Common","8",0.0177261470890571
"129","Common","9",0.0164937856275114
"130","Common","10",0.0145079899074853
"131","Common","11",0.012881389589758
"132","Common","12",0.0129923605270535
"133","Common","13",0.00964279039342118
"134","Common","14",0.00886015325670498
"135","Common","15",0.00878130548546865
"136","Common","16",0.00727151668068405
"137","Common","17",0.00638958975796654
"138","Common","18",0.00655312587608635
"139","Common","19",0.00534996729277638
"140","Common","20",0.00520979347724512
"141","Common","21",0.00540545276142417
"142","Common","22",0.00457901130735445
"143","Common","23",0.00418185216334922
"144","Common","24",0.0042198159050556
"145","Common","25",0.00318603401551257
"146","Common","26",0.00284144005233156
"147","Common","27",0.00305462106345201
"148","Common","28",0.00266038220727035
"149","Common","29",0.00259905616297542
"150","Common","30",0.0394268059059901
